feature,importance
alcohol,0.2621420762765417
sulphates,0.1356180523255031
volatile acidity,0.10433654502295679
citric acid,0.08213928955801401
density,0.0785273003595018
total sulfur dioxide,0.0772750558377679
chlorides,0.06554246550127774
fixed acidity,0.05886862522369716
ph,0.04927094194502233
residual sugar,0.04676516860085443
free sulfur dioxide,0.0395144793488631
