model,accuracy,precision,recall,f1,roc_auc
random_forest,0.928125,0.7631578947368421,0.6744186046511628,0.7160493827160493,0.9277138779279657
svm,0.9,0.6774193548387096,0.4883720930232558,0.5675675675675675,0.8785996138023676
